"WL(nm)","Spectrum","Spectrum(W/nm)",
"425.4","0.1766","2.0489e-004",
"425.6","0.1806","2.0946e-004",
"425.8","0.1844","2.1387e-004",
"426.0","0.1886","2.1876e-004",
"426.2","0.1929","2.2373e-004",
"426.4","0.1973","2.2881e-004",
"426.6","0.2016","2.3385e-004",
"426.8","0.2057","2.3856e-004",
"427.0","0.2099","2.4346e-004",
"427.2","0.2150","2.4943e-004",
"427.4","0.2202","2.5545e-004",
"427.6","0.2251","2.6113e-004",
"427.8","0.2298","2.6651e-004",
"428.0","0.2341","2.7160e-004",
"428.2","0.2386","2.7677e-004",
"428.4","0.2434","2.8235e-004",
"428.6","0.2482","2.8787e-004",
"428.8","0.2529","2.9330e-004",
"429.0","0.2576","2.9885e-004",
"429.2","0.2623","3.0429e-004",
"429.4","0.2675","3.1024e-004",
"429.6","0.2727","3.1638e-004",
"429.8","0.2781","3.2260e-004",
"430.0","0.2836","3.2902e-004",
"430.2","0.2881","3.3422e-004",
"430.4","0.2922","3.3900e-004",
"430.6","0.2980","3.4568e-004",
"430.8","0.3050","3.5374e-004",
"431.0","0.3109","3.6060e-004",
"431.2","0.3163","3.6693e-004",
"431.4","0.3220","3.7350e-004",
"431.6","0.3280","3.8046e-004",
"431.8","0.3337","3.8707e-004",
"432.0","0.3393","3.9359e-004",
"432.2","0.3450","4.0018e-004",
"432.4","0.3514","4.0761e-004",
"432.6","0.3584","4.1573e-004",
"432.8","0.3652","4.2356e-004",
"433.0","0.3709","4.3019e-004",
"433.2","0.3767","4.3698e-004",
"433.4","0.3840","4.4547e-004",
"433.6","0.3914","4.5397e-004",
"433.8","0.3979","4.6151e-004",
"434.0","0.4046","4.6937e-004",
"434.2","0.4118","4.7763e-004",
"434.4","0.4188","4.8582e-004",
"434.6","0.4258","4.9393e-004",
"434.8","0.4329","5.0211e-004",
"435.0","0.4401","5.1045e-004",
"435.2","0.4480","5.1961e-004",
"435.4","0.4569","5.2999e-004",
"435.6","0.4653","5.3975e-004",
"435.8","0.4727","5.4826e-004",
"436.0","0.4792","5.5583e-004",
"436.2","0.4851","5.6271e-004",
"436.4","0.4931","5.7200e-004",
"436.6","0.5024","5.8271e-004",
"436.8","0.5116","5.9342e-004",
"437.0","0.5208","6.0411e-004",
"437.2","0.5288","6.1333e-004",
"437.4","0.5362","6.2201e-004",
"437.6","0.5450","6.3222e-004",
"437.8","0.5547","6.4348e-004",
"438.0","0.5630","6.5304e-004",
"438.2","0.5713","6.6268e-004",
"438.4","0.5799","6.7271e-004",
"438.6","0.5887","6.8285e-004",
"438.8","0.5969","6.9239e-004",
"439.0","0.6050","7.0174e-004",
"439.2","0.6143","7.1251e-004",
"439.4","0.6235","7.2320e-004",
"439.6","0.6311","7.3207e-004",
"439.8","0.6395","7.4179e-004",
"440.0","0.6482","7.5190e-004",
"440.2","0.6564","7.6141e-004",
"440.4","0.6639","7.7015e-004",
"440.6","0.6723","7.7986e-004",
"440.8","0.6822","7.9131e-004",
"441.0","0.6906","8.0109e-004",
"441.2","0.6980","8.0967e-004",
"441.4","0.7054","8.1819e-004",
"441.6","0.7127","8.2674e-004",
"441.8","0.7195","8.3455e-004",
"442.0","0.7262","8.4234e-004",
"442.2","0.7336","8.5095e-004",
"442.4","0.7423","8.6101e-004",
"442.6","0.7486","8.6833e-004",
"442.8","0.7540","8.7464e-004",
"443.0","0.7606","8.8229e-004",
"443.2","0.7678","8.9066e-004",
"443.4","0.7718","8.9531e-004",
"443.6","0.7754","8.9945e-004",
"443.8","0.7819","9.0698e-004",
"444.0","0.7883","9.1445e-004",
"444.2","0.7922","9.1897e-004",
"444.4","0.7957","9.2296e-004",
"444.6","0.8007","9.2876e-004",
"444.8","0.8054","9.3427e-004",
"445.0","0.8075","9.3666e-004",
"445.2","0.8101","9.3964e-004",
"445.4","0.8126","9.4259e-004",
"445.6","0.8151","9.4550e-004",
"445.8","0.8164","9.4695e-004",
"446.0","0.8175","9.4832e-004",
"446.2","0.8177","9.4844e-004",
"446.4","0.8185","9.4944e-004",
"446.6","0.8199","9.5102e-004",
"446.8","0.8200","9.5119e-004",
"447.0","0.8205","9.5173e-004",
"447.2","0.8200","9.5115e-004",
"447.4","0.8201","9.5133e-004",
"447.6","0.8189","9.4994e-004",
"447.8","0.8163","9.4683e-004",
"448.0","0.8131","9.4318e-004",
"448.2","0.8098","9.3930e-004",
"448.4","0.8080","9.3730e-004",
"448.6","0.8069","9.3603e-004",
"448.8","0.8051","9.3385e-004",
"449.0","0.8012","9.2935e-004",
"449.2","0.7969","9.2437e-004",
"449.4","0.7934","9.2026e-004",
"449.6","0.7900","9.1636e-004",
"449.8","0.7868","9.1271e-004",
"450.0","0.7821","9.0722e-004",
"450.2","0.7773","9.0161e-004",
"450.4","0.7734","8.9710e-004",
"450.6","0.7694","8.9247e-004",
"450.8","0.7660","8.8850e-004",
"451.0","0.7621","8.8401e-004",
"451.2","0.7572","8.7832e-004",
"451.4","0.7521","8.7241e-004",
"451.6","0.7472","8.6674e-004",
"451.8","0.7420","8.6073e-004",
"452.0","0.7362","8.5396e-004",
"452.2","0.7304","8.4729e-004",
"452.4","0.7251","8.4104e-004",
"452.6","0.7199","8.3508e-004",
"452.8","0.7150","8.2942e-004",
"453.0","0.7100","8.2353e-004",
"453.2","0.7046","8.1732e-004",
"453.4","0.6990","8.1078e-004",
"453.6","0.6932","8.0403e-004",
"453.8","0.6877","7.9765e-004",
"454.0","0.6824","7.9150e-004",
"454.2","0.6763","7.8444e-004",
"454.4","0.6699","7.7700e-004",
"454.6","0.6640","7.7017e-004",
"454.8","0.6588","7.6419e-004",
"455.0","0.6543","7.5896e-004",
"455.2","0.6498","7.5370e-004",
"455.4","0.6439","7.4688e-004",
"455.6","0.6377","7.3970e-004",
"455.8","0.6328","7.3397e-004",
"456.0","0.6283","7.2881e-004",
"456.2","0.6236","7.2331e-004",
"456.4","0.6186","7.1760e-004",
"456.6","0.6134","7.1147e-004",
"456.8","0.6079","7.0511e-004",
"457.0","0.6023","6.9864e-004",
"457.2","0.5971","6.9260e-004",
"457.4","0.5929","6.8773e-004",
"457.6","0.5884","6.8253e-004",
"457.8","0.5829","6.7609e-004",
"458.0","0.5773","6.6968e-004",
"458.2","0.5725","6.6413e-004",
"458.4","0.5681","6.5892e-004",
"458.6","0.5638","6.5396e-004",
"458.8","0.5593","6.4873e-004",
"459.0","0.5545","6.4321e-004",
"459.2","0.5505","6.3854e-004",
"459.4","0.5471","6.3460e-004",
"459.6","0.5429","6.2972e-004",
"459.8","0.5378","6.2377e-004",
"460.0","0.5332","6.1850e-004",
"460.2","0.5291","6.1374e-004",
"460.4","0.5241","6.0799e-004",
"460.6","0.5188","6.0174e-004",
"460.8","0.5146","5.9692e-004",
"461.0","0.5112","5.9294e-004",
"461.2","0.5073","5.8850e-004",
"461.4","0.5032","5.8370e-004",
"461.6","0.4992","5.7900e-004",
"461.8","0.4952","5.7435e-004",
"462.0","0.4912","5.6978e-004",
"462.2","0.4873","5.6522e-004",
"462.4","0.4835","5.6087e-004",
"462.6","0.4798","5.5652e-004",
"462.8","0.4756","5.5167e-004",
"463.0","0.4715","5.4693e-004",
"463.2","0.4678","5.4258e-004",
"463.4","0.4644","5.3863e-004",
"463.6","0.4615","5.3530e-004",
"463.8","0.4587","5.3209e-004",
"464.0","0.4558","5.2869e-004",
"464.2","0.4526","5.2499e-004",
"464.4","0.4491","5.2090e-004",
"464.6","0.4458","5.1712e-004",
"464.8","0.4431","5.1403e-004",
"465.0","0.4401","5.1045e-004",
"465.2","0.4362","5.0601e-004",
"465.4","0.4330","5.0231e-004",
"465.6","0.4307","4.9958e-004",
"465.8","0.4280","4.9644e-004",
"466.0","0.4248","4.9279e-004",
"466.2","0.4221","4.8961e-004",
"466.4","0.4197","4.8683e-004",
"466.6","0.4171","4.8381e-004",
"466.8","0.4143","4.8058e-004",
"467.0","0.4118","4.7764e-004",
"467.2","0.4093","4.7480e-004",
"467.4","0.4066","4.7161e-004",
"467.6","0.4038","4.6838e-004",
"467.8","0.4015","4.6571e-004",
"468.0","0.3996","4.6350e-004",
"468.2","0.3979","4.6153e-004",
"468.4","0.3961","4.5947e-004",
"468.6","0.3940","4.5705e-004",
"468.8","0.3917","4.5435e-004",
"469.0","0.3892","4.5145e-004",
"469.2","0.3868","4.4866e-004",
"469.4","0.3850","4.4654e-004",
"469.6","0.3830","4.4429e-004",
"469.8","0.3804","4.4127e-004",
"470.0","0.3781","4.3854e-004",
"470.2","0.3763","4.3653e-004",
"470.4","0.3747","4.3462e-004",
"470.6","0.3729","4.3250e-004",
"470.8","0.3709","4.3022e-004",
"471.0","0.3689","4.2786e-004",
"471.2","0.3668","4.2544e-004",
"471.4","0.3646","4.2296e-004",
"471.6","0.3624","4.2037e-004",
"471.8","0.3601","4.1773e-004",
"472.0","0.3578","4.1508e-004",
"472.2","0.3557","4.1255e-004",
"472.4","0.3539","4.1050e-004",
"472.6","0.3524","4.0877e-004",
"472.8","0.3507","4.0685e-004",
"473.0","0.3489","4.0471e-004",
"473.2","0.3471","4.0267e-004",
"473.4","0.3454","4.0065e-004",
"473.6","0.3436","3.9851e-004",
"473.8","0.3416","3.9626e-004",
"474.0","0.3398","3.9416e-004",
"474.2","0.3381","3.9215e-004",
"474.4","0.3364","3.9024e-004",
"474.6","0.3347","3.8826e-004",
"474.8","0.3329","3.8619e-004",
"475.0","0.3311","3.8402e-004",
"475.2","0.3293","3.8202e-004",
"475.4","0.3276","3.8001e-004",
"475.6","0.3258","3.7787e-004",
"475.8","0.3239","3.7568e-004",
"476.0","0.3220","3.7354e-004",
"476.2","0.3204","3.7169e-004",
"476.4","0.3194","3.7045e-004",
"476.6","0.3181","3.6896e-004",
